"title","description","pubDate","news_type"
"How is American Century Select Investor Fund (TWCIX) Performing?","American Century Select Investor ( TWCIX ) a Zacks Rank #2 (Buy) invests in companies with earnings and revenues that are growing at a successively faster, or accelerating, pace.  This Large Blend fund, as of the<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/me9tZl8lqnc\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 13:46:16,"Mutual Fund"
"Guide to DFA Tax-Managed US Small Cap Fund (DFTSX)","DFA Tax Managed US Small Cap ( DFTSX ) a Zacks Rank #1 (Strong Buy) invests a large portion of its net assets in securities of US companies whose size (market capitalization) falls within the smallest 8%<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/uOf-J6-MNdA\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 13:46:08,"Mutual Fund"
"Quick Guide to Fidelity Select Energy Fund (FSENX)","Fidelity Select Energy ( FSENX ) a Zacks Rank #1 (Strong Buy) invests the majority of its assets in common stocks of companies principally engaged in the energy field, including the conventional areas of oil, gas, electricity,<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/ttNbnyR4bXA\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 13:46:01,"Mutual Fund"
"Janus Enterprise T Fund (JAENX) in Focus","Janus Enterprise T ( JAENX ) a Zacks Rank #1 (Strong Buy) invests primarily in common stocks selected for their growth potential, and normally invests at least 50% of its equity assets in medium sized companies.<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/Wf9JszJmkwI\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 13:45:53,"Mutual Fund"
"4 Japan Mutual Funds to Watch on Slow Growth in Q2 GDP","The world's third largest economy expanded at a slower pace during the second quarter, indicating that aggressive stimulus measures did little to boost the economy. According to the official report, Japan witnessed an annualized GDP growth of<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/bRRRhUTfkPA\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 12:48:58,"Mutual Fund"
"4 Best-Ranked Oppenheimer Mutual Funds to Consider","Founded in 1959, OppenheimerFunds currently has $222 billion worth of assets (as of July 29, 2016) under management invested in 89 mutual funds across a wide range of categories including equity, fixed income and alternative securities, and<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/cVj79gp2nn0\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:50:19,"Mutual Fund"
"Intro Guide to the AB High Income Advisor Fund (AGDYX)","AB High Income Advisor Fund ( AGDYX )  a Zacks Rank #1 (Strong Buy) was formerly known as Alliance Global Dollar Government Fund. AGDYX was incepted in February 1994 and is managed by Alliance Capital Management.<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/_AnvFPOj0vY\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:50:08,"Mutual Fund"
"Is Federated Strategic Value Dividend A Fund (SVAAX) Worth Another Look?","Federated Strategic Value Dividend A Fund ( SVAAX )  a Zacks Rank #1 (Strong Buy) was incepted in April 1997 and is managed by SAFECO Asset Management Company. SVAAX seeks long term growth of capital and<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/iJjxt8KmRc0\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:49:56,"Mutual Fund"
"How is USAA Tax Exempt Long-Term Fund (USTEX)?","USAA Tax Exempt Long Term Fund ( USTEX )  a Zacks Rank #2 (Buy) was incepted in March 1982 and is managed by USAA Investment Management Company. USTEX seeks to provide investors with interest income that<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/LVVSlRQ5ZyI\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:49:38,"Mutual Fund"
"Guide to MFS International Diversification A Fund (MDIDX)","MFS International Diversification A Fund ( MDIDX )  a Zacks Rank #1 (Strong Buy) was incepted in September 2004 and is managed by Massachusetts Financial Services Co. MDIDX seeks long term capital growth. MDIDX invests majority<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/XBPtf9YEXcg\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:49:32,"Mutual Fund"
"Overview of Franklin High Yield Tax-Free Income Advisor Fund (FHYVX)","Franklin High Yield Tax Free Income Advisor Fund ( FHYVX )  a Zacks Rank #1 (Strong Buy) was incepted in March 1986 and is managed by the Franklin Advisers. FHYVX seeks to invest in high yielding,<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/AISEzrZBpjs\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:49:27,"Mutual Fund"
"Quick Guide to AB Global Bond Advisor Fund (ANAYX)","AB Global Bond Advisor Fund ( ANAYX )  a Zacks Rank #2 (Buy) was incepted in March 1992 and is managed by Alliance Capital Management L.P. ANAYX seeks a high level of current income consistent with<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/l7hzx_Hk4NU\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:49:23,"Mutual Fund"
"Principal Short-Term Income Institutional Fund (PSHIX) in Focus","Principal Short Term Income Institutional Fund ( PSHIX ) a Zacks Rank #1 (Strong Buy) was incepted in July 1996 and is managed by Principal Management Corp. PSHIX seeks income growth for the long run. PMCPX generally<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/_qfEIUvUBWs\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 11:49:19,"Mutual Fund"
